,Date,Predicted_Close,Run_Date
0,2026-01-01 00:00:00+00:00,26.18,2026-01-05
1,2026-01-02 00:00:00+00:00,26.12,2026-01-05
2,2026-01-05 00:00:00+00:00,26.06,2026-01-05
3,2026-01-06 00:00:00+00:00,26.02,2026-01-05
4,2026-01-07 00:00:00+00:00,26.1,2026-01-06
5,2026-01-08 00:00:00+00:00,26.02,2026-01-07
6,2026-01-09 00:00:00+00:00,26.22,2026-01-08
7,2026-01-12 00:00:00+00:00,27.09,2026-01-12
8,2026-01-13 00:00:00+00:00,27.43,2026-01-12
9,2026-01-14 00:00:00+00:00,27.66,2026-01-13
10,2026-01-15 00:00:00+00:00,28.25,2026-01-14
11,2026-01-16 00:00:00+00:00,28.58,2026-01-15
12,2026-01-19 00:00:00+00:00,28.98,2026-01-19
13,2026-01-20 00:00:00+00:00,29.14,2026-01-19
14,2026-01-21 00:00:00+00:00,28.76,2026-01-20
15,2026-01-22 00:00:00+00:00,29.4,2026-01-21
16,2026-01-23 00:00:00+00:00,29.52,2026-01-22
17,2026-01-26 00:00:00+00:00,29.64,2026-01-26
18,2026-01-27 00:00:00+00:00,29.74,2026-01-26
19,2026-01-28 00:00:00+00:00,29.72,2026-01-27
20,2026-01-29 00:00:00+00:00,29.76,2026-01-28
21,2026-01-30 00:00:00+00:00,29.75,2026-01-29
22,2026-02-02 00:00:00+00:00,29.82,2026-02-02
23,2026-02-03 00:00:00+00:00,29.9,2026-02-02
24,2026-02-04 00:00:00+00:00,29.93,2026-02-03
25,2026-02-05 00:00:00+00:00,29.96,2026-02-04
26,2026-02-06 00:00:00+00:00,30.92,2026-02-05
27,2026-02-09 00:00:00+00:00,31.47,2026-02-09
28,2026-02-10 00:00:00+00:00,31.79,2026-02-09
29,2026-02-11 00:00:00+00:00,32.53,2026-02-10
30,2026-02-12 00:00:00+00:00,31.84,2026-02-11
31,2026-02-13 00:00:00+00:00,32.26,2026-02-12
32,2026-02-16 00:00:00+00:00,34.44,2026-02-16
33,2026-02-17 00:00:00+00:00,35.05,2026-02-16
34,2026-02-18 00:00:00+00:00,34.24,2026-02-17
35,2026-02-19 00:00:00+00:00,35.26,2026-02-18
36,2026-02-20 00:00:00+00:00,35.47,2026-02-19
37,2026-02-23 00:00:00+00:00,36.48,2026-02-23
38,2026-02-24 00:00:00+00:00,36.72,2026-02-23
39,2026-02-25 00:00:00+00:00,36.63,2026-02-24
40,2026-02-26 00:00:00+00:00,37.04,2026-02-25
41,2026-02-27 00:00:00+00:00,37.28,2026-02-26
42,2026-03-02 00:00:00+00:00,37.11,2026-03-02
43,2026-03-03 00:00:00+00:00,37.12,2026-03-02
44,2026-03-04 00:00:00+00:00,37.16,2026-03-04
45,2026-03-05 00:00:00+00:00,37.16,2026-03-04
46,2026-03-06 00:00:00+00:00,36.99,2026-03-05
47,2026-03-09 00:00:00+00:00,35.94,2026-03-09
48,2026-03-10 00:00:00+00:00,35.72,2026-03-09
49,2026-03-11 00:00:00+00:00,35.82,2026-03-10
50,2026-03-12 00:00:00+00:00,35.83,2026-03-11
51,2026-03-13 00:00:00+00:00,35.62,2026-03-12
52,2026-03-16 00:00:00+00:00,35.62,2026-03-15
53,2026-03-17 00:00:00+00:00,35.73,2026-03-15
54,2026-03-18 00:00:00+00:00,35.81,2026-03-15
55,2026-03-19 00:00:00+00:00,35.87,2026-03-15
56,2026-03-20 00:00:00+00:00,35.9,2026-03-15
57,2026-03-23 00:00:00+00:00,35.92,2026-03-15
58,2026-03-24 00:00:00+00:00,35.93,2026-03-15
59,2026-03-25 00:00:00+00:00,35.93,2026-03-15
60,2026-03-26 00:00:00+00:00,35.92,2026-03-15
61,2026-03-27 00:00:00+00:00,35.92,2026-03-15
